user_id,is_abnormal_payment,is_probability_distorted_banner
1,False,True
2,False,True
3,False,False
4,False,True
5,True,True
6,False,True
7,False,True
8,False,False
9,False,True
10,False,True
11,False,True
12,False,False
13,False,False
14,False,True
15,False,True
16,False,True
17,False,True
18,False,True
19,False,True
20,False,True
21,False,True
22,False,True
23,False,True
24,False,True
25,False,True
26,False,True
27,False,True
28,False,True
29,False,True
30,False,False
31,False,True
32,False,True
33,False,True
34,False,True
35,False,True
36,False,True
37,False,True
38,False,False
39,False,True
40,False,True
41,False,True
42,False,True
43,True,True
44,False,True
45,False,True
46,False,True
47,False,True
48,False,True
49,False,True
50,False,True
51,False,True
52,False,True
53,False,False
54,False,True
55,False,True
56,False,False
57,False,True
58,False,True
59,False,True
60,False,False
61,False,True
62,False,True
63,False,True
64,False,False
65,False,True
66,False,True
67,False,True
68,False,True
69,False,True
70,False,True
71,False,True
72,False,True
73,False,True
74,False,True
75,False,True
76,False,True
77,False,False
78,False,True
79,False,True
80,False,True
81,False,True
82,False,True
83,False,False
84,False,True
85,False,False
86,False,True
87,False,True
88,False,True
89,False,False
90,False,True
91,False,True
92,False,True
93,False,True
94,False,True
95,False,True
96,False,True
97,False,True
98,False,True
99,False,True
100,False,False
101,False,True
102,True,True
103,False,True
104,False,True
105,False,True
106,False,True
107,False,True
108,False,True
109,False,False
110,False,True
111,False,False
112,False,True
113,False,True
114,False,True
115,False,True
116,False,True
117,False,True
118,True,True
119,False,True
120,False,True
121,False,False
122,False,False
123,False,True
124,False,True
125,True,True
126,False,True
127,False,True
128,False,True
129,False,True
130,False,True
131,False,True
132,False,True
133,False,True
134,False,True
135,False,True
136,False,True
137,True,True
138,False,True
139,False,True
140,False,False
141,False,True
142,False,True
143,False,True
144,False,True
145,False,True
146,False,True
147,False,False
148,False,False
149,False,True
150,False,True
151,False,True
152,False,True
153,False,True
154,False,True
155,False,True
156,False,True
157,False,True
158,False,False
159,False,True
160,False,True
161,False,True
162,False,True
163,False,True
164,False,True
165,False,True
166,False,True
167,False,True
168,False,True
169,False,True
170,False,True
171,True,True
172,False,True
173,True,True
174,False,True
175,False,True
176,False,True
177,False,True
178,False,True
179,False,True
180,False,True
181,False,True
182,False,False
183,False,True
184,False,True
185,False,True
186,False,True
187,False,False
188,False,True
189,False,True
190,False,True
191,False,True
192,False,True
193,False,True
194,False,True
195,False,True
196,False,True
197,False,True
198,True,True
199,False,True
200,False,True
201,False,True
202,False,True
203,False,True
204,False,True
205,False,True
206,False,True
207,False,True
208,False,True
209,False,True
210,False,True
211,False,True
212,False,True
213,False,True
214,False,True
215,False,True
216,False,True
217,False,True
218,False,True
219,False,True
220,False,True
221,False,True
222,False,False
223,False,True
224,False,True
225,False,True
226,False,True
227,False,True
228,False,True
229,False,True
230,False,True
231,False,True
232,False,False
233,False,True
234,False,True
235,False,False
236,False,True
237,False,True
238,False,True
239,False,True
240,False,True
241,False,True
242,False,True
243,False,True
244,False,True
245,False,True
246,False,True
247,False,True
248,False,True
249,False,True
250,False,False
251,False,True
252,False,True
253,False,False
254,False,True
255,False,True
256,False,True
257,False,True
258,False,False
259,True,True
260,False,True
261,False,True
262,False,True
263,False,True
264,False,True
265,False,True
266,False,True
267,False,True
268,False,False
269,False,True
270,False,True
271,False,True
272,False,True
273,False,True
274,False,True
275,False,False
276,True,True
277,False,True
278,False,True
279,False,True
280,False,True
281,False,True
282,False,True
283,False,True
284,False,True
285,False,True
286,False,True
287,True,True
288,False,True
289,False,True
290,False,True
291,False,True
292,False,True
293,False,False
294,False,True
295,False,True
296,False,True
297,False,True
298,False,True
299,False,True
300,False,True
301,False,True
302,False,True
303,False,True
304,False,True
305,False,True
306,False,True
307,False,True
308,False,True
309,False,True
310,False,True
311,False,True
312,False,True
313,False,True
314,False,True
315,False,True
316,False,True
317,False,False
318,False,True
319,False,False
320,False,True
321,False,True
322,False,True
323,False,True
324,False,False
325,False,True
326,False,True
327,False,True
328,False,True
329,False,True
330,False,True
331,False,False
332,False,True
333,False,True
334,False,True
335,False,True
336,False,True
337,False,False
338,False,True
339,False,True
340,False,True
341,False,True
342,False,True
343,False,True
344,False,True
345,False,True
346,False,False
347,False,True
348,False,False
349,False,True
350,False,True
351,False,False
352,False,False
353,False,True
354,False,True
355,False,True
356,False,True
357,False,True
358,False,False
359,False,True
360,False,True
361,False,True
362,False,True
363,False,True
364,False,True
365,False,True
366,False,True
367,False,False
368,False,True
369,False,True
370,False,True
371,False,False
372,False,True
373,False,True
374,False,True
375,False,True
376,False,False
377,False,True
378,False,True
379,False,False
380,False,True
381,False,True
382,False,True
383,False,True
384,False,True
385,False,True
386,False,True
387,False,True
388,False,True
389,False,False
390,False,True
391,False,True
392,False,True
393,False,True
394,False,True
